bssamt,plnprc,bidNtceNo
,,R25BK00682344
,,R25BK00689559
,,R25BK00656254
,,R25BK00689135
434440,434545.36,R25BK00700003
,,R25BK00702898
220970000,220497200,R25BK00704028
22627000,22605425,R25BK00698839
316562400,315821700,R25BK00697033
,,R25BK00704072
252000000,254329125,R25BK00697279
100000000,99978000,R25BK00702242
166910000,166498625,R25BK00704004
176370000,175982475,R25BK00703960
129499000,129279850,R25BK00700876
83000000,82514700,R25BK00699057
304222760,304583325,R25BK00703041
155111000,153673925,R25BK00698538
118680000,119603400,R25BK00700252
199100000,199409650,R25BK00700152
94028000,94110300,R25BK00699072
86097000,87392575,R25BK00697696
252000000,251219475,R25BK00696734
125000,123801.88,R25BK00700228
254827000,253672050,R25BK00702286
57420000,57117150,R25BK00699657
1534732320,1537821025,R25BK00699509
,,R25BK00702696
,,R25BK00700997
252000000,251497950,R25BK00697290
350838000,348447975,R25BK00702284
184976000,185537425,R25BK00694259
158620000,159242625,R25BK00696208
44000000,43682350,R25BK00696553
188034000,187875200,R25BK00692660
83434000,83163725,R25BK00692874
297000,296257.5,R25BK00695977
66185900,66395925,R25BK00697056
81224000,79215975,R25BK00697028
245420000,245257475,R25BK00703972
363700000,367568000,R25BK00703646
120281000,119274275,R25BK00697743
197820000,198242900,R25BK00703952
28732000,28635225,R25BK00699020
207399710,206789500,R25BK00701326
179300000,180680650,R25BK00700143
145788000,146221025,R25BK00699652
366200000,366537875,R25BK00703876
104588000,104118700,R25BK00698727
,,R25BK00703045
243000000,242811725,R25BK00697283
154390000,152979300,R25BK00699235
127948000,127560350,R25BK00703566
1715000,1718490.03,R25BK00700378
58549000,58193200,R25BK00701840
,,R25BK00698787
484616000,484662100,R25BK00703917
270000000,268865325,R25BK00697976
170500,171178.17,R25BK00700401
60450500,59847425,R25BK00701615
120000000,119582400,R25BK00695115
478057000,471314050,R25BK00695296
234000000,234969400,R25BK00696240
83720000,83438125,R25BK00685394
,,R25BK00695324
238000000,237180125,R25BK00696341
,,R25BK00696155
37600000,37597775,R25BK00695842
28292000,28249525,R25BK00695844
645117000,641836650,R25BK00694756
205456000,208509650,R25BK00688336
150000000,147645000,R25BK00694920
82581070,82523300,R25BK00690576
247000000,248359175,R25BK00696280
251000000,251215925,R25BK00697272
58600000,58604175,R25BK00694237
86000000,86172250,R25BK00696281
164700000,163197575,R25BK00693087
507512000,509737475,R25BK00694557
511598000,510196250,R25BK00693693
,,R25BK00688897
50000000,49907000,R25BK00694336
147559000,148223400,R25BK00663556
,,R25BK00681632
97000000,96313050,R25BK00684456
,,R25BK00691408
,,R25BK00682263
,,R25BK00686852
,,R25BK00683409
,,R25BK00682020
,,R25BK00691779
,,R25BK00681611
,,R25BK00687058
,,R25BK00685341
,,R25BK00676813
,,R25BK00684784
,,R25BK00691117
,,R25BK00683375
,,R25BK00688208
,,R25BK00681619
,,R25BK00691287
,,R25BK00686394
,,R25BK00692175
,,R25BK00692019
,,R25BK00687534
,,R25BK00686227
,,R25BK00691220
,,R25BK00682283
,,R25BK00687248
,,R25BK00682300
,,R25BK00684949
,,R25BK00682838
,,R25BK00688876
,,R25BK00692004
,,R25BK00687771
,,R25BK00688453
,,R25BK00688771
,,R25BK00684751
,,R25BK00683381
,,R25BK00687310
,,R25BK00691676
,,R25BK00684524
,,R25BK00688848
120000000,120665400,R25BK00682225
,,R25BK00682433
,,R25BK00690928
,,R25BK00687578
,,R25BK00688053
,,R25BK00687493
,,R25BK00682443
,,R25BK00690762
,,R25BK00692359
